algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime,uavs
DMMP-PR-TSA,10.0,10,5,1.0,1.0,0.08597659994848073,
DMMP-R-RL-AC,10.0,10,5,1.0,1.0,0.5048020000103861,
Greedy-Nearest,10.0,10,5,0.9,1.0,0.008069900097325444,
PSO,10.0,10,5,1.0,1.0,3.9557607998140156,
DPSO,10.0,10,5,1.0,1.0,6.286798199871555,
DMMP-PR-TSA,20.0,20,5,0.8,0.8,0.1922456999309361,
DMMP-R-RL-AC,20.0,20,5,0.95,1.0,4.323770799906924,
Greedy-Nearest,20.0,20,5,0.75,1.0,0.008961200015619397,
PSO,20.0,20,5,0.9,1.0,5.6787368999794126,
DPSO,20.0,20,5,1.0,1.0,11.163902200059965,
DMMP-PR-TSA,30.0,30,5,0.5333333333333333,0.8888888888888888,0.27071599988266826,
DMMP-R-RL-AC,30.0,30,5,0.9,1.0,24.864192300010473,
Greedy-Nearest,30.0,30,5,0.6666666666666666,1.0,0.007958499947562814,
PSO,30.0,30,5,0.8666666666666667,0.8888888888888888,9.621771299978718,
DPSO,30.0,30,5,1.0,1.0,24.49255879991688,
DMMP-PR-TSA,40.0,40,5,0.55,0.5714285714285714,0.7636224001180381,
DMMP-R-RL-AC,40.0,40,5,0.775,0.8571428571428571,54.16680540004745,
Greedy-Nearest,40.0,40,5,0.65,1.0,0.010816900059580803,
PSO,40.0,40,5,0.6,0.7142857142857143,9.58812199998647,
DPSO,40.0,40,5,0.8,0.8571428571428571,23.860921000130475,
DMMP-PR-TSA,50.0,50,5,0.36,0.5,0.5755172001663595,
DMMP-R-RL-AC,50.0,50,5,0.76,0.95,110.3874728998635,
Greedy-Nearest,50.0,50,5,0.64,0.9,0.010721799917519093,
PSO,50.0,50,5,0.56,0.85,10.79666420002468,
DPSO,50.0,50,5,0.64,0.75,33.99202669993974,
DMMP-PR-TSA,60.0,60,5,0.26666666666666666,0.45454545454545453,1.3217794999945909,
DMMP-R-RL-AC,60.0,60,5,0.6666666666666666,0.8636363636363636,68.39957900019363,
Greedy-Nearest,60.0,60,5,0.5833333333333334,0.8181818181818182,0.011389299994334579,
PSO,60.0,60,5,0.4166666666666667,0.5454545454545454,12.996181499911472,
DPSO,60.0,60,5,0.45,0.5454545454545454,36.143230699934065,
DMMP-PR-TSA,70.0,70,5,0.4142857142857143,0.782608695652174,0.6745893999468535,
DMMP-R-RL-AC,70.0,70,5,0.5857142857142857,0.9565217391304348,151.6686416999437,
Greedy-Nearest,70.0,70,5,0.5428571428571428,0.8260869565217391,0.012946199858561158,
PSO,70.0,70,5,0.45714285714285713,0.5652173913043478,20.82511189999059,
DPSO,70.0,70,5,0.38571428571428573,0.43478260869565216,73.0299851000309,
DMMP-PR-TSA,80.0,80,5,0.3625,0.6785714285714286,1.6251259001437575,
DMMP-R-RL-AC,80.0,80,5,0.5875,0.9285714285714286,289.55873830011114,
Greedy-Nearest,80.0,80,5,0.5375,0.7142857142857143,0.04428829997777939,
PSO,80.0,80,5,0.3125,0.42857142857142855,29.767959400080144,
DPSO,80.0,80,5,0.3375,0.39285714285714285,85.23483800003305,
DMMP-PR-TSA,90.0,90,5,0.26666666666666666,0.4838709677419355,1.4773271000012755,
DMMP-R-RL-AC,90.0,90,5,0.5333333333333333,0.8387096774193549,272.20398960006423,
Greedy-Nearest,90.0,90,5,0.5111111111111111,0.7096774193548387,0.011155900079756975,
PSO,90.0,90,5,0.3,0.3870967741935484,19.712592599913478,
DPSO,90.0,90,5,0.32222222222222224,0.3225806451612903,84.6530300998129,
DMMP-PR-TSA,100.0,100,5,0.28,0.5142857142857142,0.9314617000054568,
DMMP-R-RL-AC,100.0,100,5,0.5,0.8,275.3960596001707,
Greedy-Nearest,100.0,100,5,0.47,0.6857142857142857,0.022712100064381957,
PSO,100.0,100,5,0.24,0.4,26.082793599925935,
DPSO,100.0,100,5,0.32,0.4,98.84806969994679,
DMMP-PR-TSA,,50,3,0.28,0.55,0.359757199883461,3.0
DMMP-R-RL-AC,,50,3,0.46,0.7,63.084889200050384,3.0
Greedy-Nearest,,50,3,0.36,0.45,0.011266600107774138,3.0
PSO,,50,3,0.32,0.4,11.78003489994444,3.0
DPSO,,50,3,0.28,0.3,34.8391575999558,3.0
DMMP-PR-TSA,,50,4,0.42,0.65,0.5366597999818623,4.0
DMMP-R-RL-AC,,50,4,0.66,0.85,86.12470990000293,4.0
Greedy-Nearest,,50,4,0.5,0.75,0.009926399914547801,4.0
PSO,,50,4,0.42,0.45,13.547529000090435,4.0
DPSO,,50,4,0.48,0.7,40.287044500000775,4.0
DMMP-PR-TSA,,50,5,0.36,0.5,0.6331710000522435,5.0
DMMP-R-RL-AC,,50,5,0.76,0.95,125.72606189991347,5.0
Greedy-Nearest,,50,5,0.64,0.9,0.009295700117945671,5.0
