algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
DMMP-PR-TSA,10,10,5,1.0,1.0,0.06880829995498061
DMMP-R-RL-AC,10,10,5,1.0,1.0,0.4598119000438601
Greedy-Nearest,10,10,5,1.0,1.0,0.005238100187852979
PSO,10,10,5,1.0,1.0,1.5902476001065224
DMMP-PR-TSA,20,20,5,1.0,1.0,0.17000599997118115
DMMP-R-RL-AC,20,20,5,1.0,1.0,3.023707600077614
Greedy-Nearest,20,20,5,0.8,0.7272727272727273,0.006112100090831518
PSO,20,20,5,1.0,1.0,2.577555699972436
DMMP-PR-TSA,30,30,5,0.6666666666666666,0.5833333333333334,0.28487169998697937
DMMP-R-RL-AC,30,30,5,0.9333333333333333,1.0,18.599330099998042
Greedy-Nearest,30,30,5,0.6666666666666666,0.3333333333333333,0.007375300163403153
PSO,30,30,5,0.9666666666666667,1.0,3.195156899979338
DMMP-PR-TSA,40,40,5,0.675,0.875,0.4873245998751372
DMMP-R-RL-AC,40,40,5,0.875,1.0,34.59447950008325
Greedy-Nearest,40,40,5,0.55,0.0,0.005752800032496452
PSO,40,40,5,0.675,0.9375,5.060533199924976
DMMP-PR-TSA,50,50,5,0.44,0.7619047619047619,0.3597784999292344
DMMP-R-RL-AC,50,50,5,0.66,1.0,38.1315668001771
Greedy-Nearest,50,50,5,0.48,0.0,0.008350800024345517
PSO,50,50,5,0.46,0.42857142857142855,6.414659900125116
DMMP-PR-TSA,60,60,5,0.4,0.5833333333333334,0.6161738000810146
DMMP-R-RL-AC,60,60,5,0.7,0.9166666666666666,79.60283160000108
Greedy-Nearest,60,60,5,0.5333333333333333,0.0,0.011165200034156442
PSO,60,60,5,0.43333333333333335,0.4583333333333333,7.80874939984642
DMMP-PR-TSA,70,70,5,0.32857142857142857,0.6206896551724138,0.554095699917525
DMMP-R-RL-AC,70,70,5,0.5142857142857142,0.8275862068965517,57.658024000003934
Greedy-Nearest,70,70,5,0.45714285714285713,0.0,0.00965999998152256
PSO,70,70,5,0.37142857142857144,0.5517241379310345,8.990913800196722
DMMP-PR-TSA,80,80,5,0.3125,0.5454545454545454,0.6105075001250952
DMMP-R-RL-AC,80,80,5,0.5125,0.7878787878787878,54.98971610004082
Greedy-Nearest,80,80,5,0.4375,0.0,0.014053900027647614
PSO,80,80,5,0.3125,0.48484848484848486,10.162030800012872
DMMP-PR-TSA,90,90,5,0.3333333333333333,0.5675675675675675,0.6589856999926269
DMMP-R-RL-AC,90,90,5,0.45555555555555555,0.6756756756756757,77.79836310003884
Greedy-Nearest,90,90,5,0.3888888888888889,0.0,0.007845300016924739
PSO,90,90,5,0.34444444444444444,0.4864864864864865,13.856658000033349
DMMP-PR-TSA,100,100,5,0.27,0.5384615384615384,0.9143532000016421
DMMP-R-RL-AC,100,100,5,0.42,0.717948717948718,113.88013900001533
Greedy-Nearest,100,100,5,0.36,0.0,0.008637299994006753
PSO,100,100,5,0.31,0.48717948717948717,12.83914879988879
