tasks,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
10,1.0,1.0,1.0,0.7,1.0
20,0.8,1.0,1.0,0.55,1.0
30,0.7,1.0,1.0,0.6,0.9
40,0.35,0.975,0.675,0.55,0.6
50,0.28,0.92,0.58,0.48,0.46
60,0.43333333333333335,0.8,0.43333333333333335,0.4166666666666667,0.4166666666666667
70,0.32857142857142857,0.6285714285714286,0.4,0.35714285714285715,0.37142857142857144
80,0.225,0.625,0.325,0.3625,0.325
90,0.23333333333333334,0.6111111111111112,0.28888888888888886,0.36666666666666664,0.3
100,0.19,0.55,0.28,0.3,0.26
