tasks,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
10,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0
30,0.8333333333333334,1.0,1.0,1.0,1.0
40,0.5555555555555556,1.0,0.7777777777777778,0.8888888888888888,0.6666666666666666
50,0.35714285714285715,0.7142857142857143,0.5,0.7857142857142857,0.6428571428571429
60,0.5333333333333333,0.8,0.26666666666666666,0.7333333333333333,0.5333333333333333
70,0.4375,0.6875,0.3125,0.75,0.5625
80,0.35,0.7,0.3,0.55,0.55
90,0.375,0.5833333333333334,0.25,0.4583333333333333,0.5
100,0.34615384615384615,0.6923076923076923,0.19230769230769232,0.46153846153846156,0.34615384615384615
