algorithm,uavs,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
DMMP-PR-TSA,3,50,3,0.44,0.7333333333333333,0.41832830000203103
DMMP-R-RL-AC,3,50,3,0.48,0.9333333333333333,0.5799831000040285
Random,3,50,3,0.26,0.13333333333333333,0.0038612999487668276
PSO,3,50,3,0.34,0.6,6.091772600018885
DPSO,3,50,3,0.34,0.4666666666666667,18.505355099972803
DMMP-PR-TSA,4,50,4,0.56,0.8666666666666667,0.4357688999734819
DMMP-R-RL-AC,4,50,4,0.64,1.0,0.828114399977494
Random,4,50,4,0.4,0.3333333333333333,0.008232099993620068
PSO,4,50,4,0.46,0.6666666666666666,6.940126899979077
DPSO,4,50,4,0.4,0.6,22.19256709999172
DMMP-PR-TSA,5,50,5,0.7,0.9333333333333333,0.4582730000256561
DMMP-R-RL-AC,5,50,5,0.78,1.0,0.5453277999768034
Random,5,50,5,0.44,0.2,0.0032274999539367855
PSO,5,50,5,0.58,0.6666666666666666,8.340529199980665
DPSO,5,50,5,0.52,0.6,21.371193500002846
DMMP-PR-TSA,6,50,6,0.82,1.0,0.4061179000418633
DMMP-R-RL-AC,6,50,6,0.86,1.0,0.4326691000023857
Random,6,50,6,0.48,0.3333333333333333,0.0036601999890990555
PSO,6,50,6,0.62,0.8666666666666667,8.428518800006714
DPSO,6,50,6,0.62,0.7333333333333333,21.572032399999443
DMMP-PR-TSA,7,50,7,0.86,1.0,0.6917314999736845
DMMP-R-RL-AC,7,50,7,0.92,1.0,0.4020816000411287
Random,7,50,7,0.58,0.3333333333333333,0.003520500031299889
PSO,7,50,7,0.84,1.0,7.694080999994185
DPSO,7,50,7,0.9,0.9333333333333333,21.197432600019965
DMMP-PR-TSA,8,50,8,0.92,1.0,0.6576119000092149
DMMP-R-RL-AC,8,50,8,0.98,1.0,0.35920860001351684
Random,8,50,8,0.76,0.6,0.004267799959052354
PSO,8,50,8,0.82,1.0,8.520143800007645
DPSO,8,50,8,1.0,1.0,24.482375199964736
DMMP-PR-TSA,9,50,9,0.96,1.0,0.40641039999900386
DMMP-R-RL-AC,9,50,9,0.98,1.0,0.3594015000271611
Random,9,50,9,0.72,0.3333333333333333,0.0051794000319205225
PSO,9,50,9,0.84,1.0,8.512550999992527
DPSO,9,50,9,1.0,1.0,22.32762619998539
