uavs,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
3,0.18,0.54,0.3,0.28,0.36
4,0.36,0.74,0.36,0.48,0.42
5,0.28,0.92,0.58,0.48,0.46
6,0.44,0.92,0.62,0.54,0.6
7,0.5,0.98,0.78,0.54,0.6
8,0.54,0.96,0.94,0.48,0.74
9,0.52,0.96,0.94,0.62,0.78
10,0.52,1.0,0.94,0.64,0.8
11,0.66,1.0,1.0,0.64,0.86
12,0.58,1.0,1.0,0.48,0.82
13,0.76,1.0,1.0,0.66,0.96
14,0.76,1.0,1.0,0.64,0.94
15,0.76,1.0,1.0,0.6,0.94
16,0.74,1.0,1.0,0.62,0.96
17,0.84,1.0,1.0,0.82,0.96
18,0.9,1.0,1.0,0.82,0.92
19,0.94,1.0,1.0,0.84,0.94
20,0.84,1.0,1.0,0.78,0.98
