uavs,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
3,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.6428571428571429
4,0.5714285714285714,0.5,0.42857142857142855,0.7142857142857143,0.5
5,0.35714285714285715,0.7142857142857143,0.5,0.7857142857142857,0.6428571428571429
6,0.5714285714285714,1.0,0.7142857142857143,0.7857142857142857,0.8571428571428571
7,0.42857142857142855,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.6428571428571429
8,0.6428571428571429,0.8571428571428571,1.0,0.6428571428571429,0.8571428571428571
9,0.6428571428571429,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571
10,0.7142857142857143,1.0,0.9285714285714286,0.7142857142857143,0.8571428571428571
11,0.7142857142857143,1.0,1.0,0.7142857142857143,0.8571428571428571
12,0.8571428571428571,1.0,1.0,0.2857142857142857,0.8571428571428571
13,0.8571428571428571,1.0,1.0,0.6428571428571429,1.0
14,0.7142857142857143,1.0,1.0,0.8571428571428571,1.0
15,0.9285714285714286,1.0,1.0,0.7857142857142857,1.0
16,0.7857142857142857,1.0,1.0,0.7857142857142857,1.0
17,1.0,1.0,1.0,0.7857142857142857,1.0
18,0.9285714285714286,1.0,1.0,0.7857142857142857,0.9285714285714286
19,1.0,1.0,1.0,0.7857142857142857,1.0
20,0.9285714285714286,1.0,1.0,0.42857142857142855,1.0
