algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime,uavs
DMMP-PR-TSA,30.0,30,4,0.8,1.0,0.423371099983342,
DMMP-R-RL-AC,30.0,30,4,0.8,1.0,0.8019371000118554,
Greedy-Nearest,30.0,30,4,0.9666666666666667,1.0,0.012120900035370141,
PSO,30.0,30,4,0.6666666666666666,0.8571428571428571,11.12283030000981,
DPSO,30.0,30,4,0.7333333333333333,0.8571428571428571,22.25309799995739,
DMMP-PR-TSA,,30,3,0.7,1.0,0.2242289000423625,3.0
DMMP-R-RL-AC,,30,3,0.7,1.0,0.22781419998500496,3.0
Greedy-Nearest,,30,3,0.7666666666666667,0.42857142857142855,0.006604599999263883,3.0
PSO,,30,3,0.6,0.8571428571428571,8.128804399981163,3.0
DPSO,,30,3,0.5666666666666667,0.8571428571428571,22.196689100004733,3.0
