algorithm,uavs,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
DMMP-PR-TSA,3,50,3,0.44,0.7333333333333333,0.6316726999939419
DMMP-R-RL-AC,3,50,3,0.48,0.9333333333333333,0.5846503000357188
Greedy-Nearest,3,50,3,0.5,0.06666666666666667,0.010712199960835278
PSO,3,50,3,0.34,0.6,10.588198800047394
DPSO,3,50,3,0.34,0.4666666666666667,37.441743700008374
DMMP-PR-TSA,4,50,4,0.56,0.8666666666666667,0.6521819999907166
DMMP-R-RL-AC,4,50,4,0.64,1.0,1.5089961999910884
Greedy-Nearest,4,50,4,0.6,0.3333333333333333,0.0240953000029549
PSO,4,50,4,0.46,0.6666666666666666,11.914384300005622
DPSO,4,50,4,0.4,0.6,36.865438000008
DMMP-PR-TSA,5,50,5,0.7,0.9333333333333333,0.4534127999795601
DMMP-R-RL-AC,5,50,5,0.78,1.0,1.7548336000181735
Greedy-Nearest,5,50,5,0.74,0.4,0.023893399978987873
PSO,5,50,5,0.58,0.6666666666666666,12.984224200015888
DPSO,5,50,5,0.52,0.6,37.42269729997497
DMMP-PR-TSA,6,50,6,0.82,1.0,0.5648496000212617
DMMP-R-RL-AC,6,50,6,0.86,1.0,0.6643019000184722
Greedy-Nearest,6,50,6,0.82,0.5333333333333333,0.03450110001722351
PSO,6,50,6,0.62,0.8666666666666667,12.763594499963801
DPSO,6,50,6,0.62,0.7333333333333333,39.615898600022774
DMMP-PR-TSA,7,50,7,0.86,1.0,1.0950330999912694
DMMP-R-RL-AC,7,50,7,0.92,1.0,0.7848329999833368
Greedy-Nearest,7,50,7,0.92,1.0,0.035258500021882355
PSO,7,50,7,0.84,1.0,15.155753900005948
DPSO,7,50,7,0.9,0.9333333333333333,40.47646450001048
DMMP-PR-TSA,8,50,8,0.92,1.0,1.0377469999948516
DMMP-R-RL-AC,8,50,8,0.98,1.0,0.9145902000018395
Greedy-Nearest,8,50,8,1.0,1.0,0.052726399968378246
PSO,8,50,8,0.82,1.0,14.834213000023738
DPSO,8,50,8,1.0,1.0,40.057712999987416
DMMP-PR-TSA,9,50,9,0.96,1.0,0.6343584000132978
DMMP-R-RL-AC,9,50,9,0.98,1.0,0.8429566000122577
Greedy-Nearest,9,50,9,1.0,1.0,0.050672899989876896
PSO,9,50,9,0.84,1.0,15.499511300004087
DPSO,9,50,9,1.0,1.0,42.994945600046776
