tasks,DMMP-PR-TSA,DMMP-R-RL-AC,Greedy-Nearest,PSO
10,1.0,1.0,1.0,1.0
20,0.8,1.0,1.0,1.0
30,0.8888888888888888,1.0,1.0,0.8888888888888888
40,0.5714285714285714,0.8571428571428571,1.0,0.7142857142857143
50,0.5,0.95,0.9,0.85
60,0.45454545454545453,0.8636363636363636,0.8181818181818182,0.5454545454545454
70,0.782608695652174,0.9565217391304348,0.8260869565217391,0.5652173913043478
80,0.6785714285714286,0.9285714285714286,0.7142857142857143,0.42857142857142855
90,0.4838709677419355,0.8387096774193549,0.7096774193548387,0.3870967741935484
100,0.5142857142857142,0.8,0.6857142857142857,0.4
