tasks,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
10,1.0,1.0,1.0,1.0,1.0
20,0.875,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,0.8181818181818182,1.0
40,0.6875,1.0,0.8125,0.6875,0.6875
50,0.8,1.0,0.75,0.5,0.65
60,0.72,0.92,0.44,0.52,0.72
70,0.6071428571428571,0.8928571428571429,0.5357142857142857,0.4642857142857143,0.6428571428571429
80,0.7096774193548387,0.8709677419354839,0.3870967741935484,0.41935483870967744,0.5483870967741935
90,0.6060606060606061,0.8484848484848485,0.30303030303030304,0.3939393939393939,0.5151515151515151
100,0.5675675675675675,0.7837837837837838,0.32432432432432434,0.3783783783783784,0.43243243243243246
