uavs,DMMP-PR-TSA,DMMP-R-RL-AC,Greedy-Nearest,PSO
3,0.4666666666666667,0.6,0.3,0.5333333333333333
4,0.4666666666666667,0.7666666666666667,0.5333333333333333,0.7
5,0.6666666666666666,0.9333333333333333,0.6666666666666666,0.9666666666666667
6,0.8,0.9666666666666667,0.4666666666666667,0.8666666666666667
7,1.0,1.0,0.4666666666666667,1.0
8,1.0,1.0,0.5333333333333333,0.9666666666666667
9,0.9333333333333333,0.9666666666666667,0.5333333333333333,0.9666666666666667
10,1.0,1.0,0.5,1.0
11,1.0,1.0,0.6333333333333333,1.0
12,0.9,1.0,0.7333333333333333,1.0
13,0.9333333333333333,0.9666666666666667,0.7666666666666667,1.0
14,1.0,1.0,0.8666666666666667,1.0
15,1.0,1.0,0.7,1.0
16,1.0,1.0,0.6666666666666666,1.0
17,1.0,1.0,0.8333333333333334,1.0
18,1.0,1.0,0.8666666666666667,1.0
19,1.0,1.0,0.7666666666666667,1.0
20,1.0,1.0,0.6,1.0
