algorithm,uavs,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
DMMP-PR-TSA,3,50,3,0.26,0.5,0.27090250002220273
DMMP-R-RL-AC,3,50,3,0.44,0.7,20.81463439995423
Greedy-Nearest,3,50,3,0.4,0.4,0.006194599904119968
PSO,3,50,3,0.36,0.55,6.655771299963817
DPSO,3,50,3,0.38,0.5,24.110940600046888
DMMP-PR-TSA,4,50,4,0.3,0.5,0.3836236000061035
DMMP-R-RL-AC,4,50,4,0.58,0.8,33.840408199932426
Greedy-Nearest,4,50,4,0.46,0.15,0.007540500024333596
PSO,4,50,4,0.42,0.55,8.519954100018367
DPSO,4,50,4,0.44,0.55,36.66560079995543
DMMP-PR-TSA,5,50,5,0.6,0.8,1.0588566998485476
DMMP-R-RL-AC,5,50,5,0.76,1.0,66.74348960001953
Greedy-Nearest,5,50,5,0.62,0.5,0.015349599998444319
PSO,5,50,5,0.54,0.65,16.068524500122294
DPSO,5,50,5,0.58,0.75,28.72415230004117
DMMP-PR-TSA,6,50,6,0.5,0.75,0.35848110006190836
DMMP-R-RL-AC,6,50,6,0.66,0.8,16.415439600124955
Greedy-Nearest,6,50,6,0.48,0.15,0.008894500089809299
PSO,6,50,6,0.64,0.7,9.293365499936044
DPSO,6,50,6,0.6,0.55,27.04835689999163
DMMP-PR-TSA,7,50,7,0.74,0.85,0.5925666000694036
DMMP-R-RL-AC,7,50,7,0.88,0.95,20.326758300187066
Greedy-Nearest,7,50,7,0.54,0.15,0.01048820000141859
PSO,7,50,7,0.7,0.75,9.583139900118113
DPSO,7,50,7,0.8,0.9,26.407136499881744
DMMP-PR-TSA,8,50,8,0.56,0.7,0.7192772999405861
DMMP-R-RL-AC,8,50,8,0.86,1.0,24.064829000039026
Greedy-Nearest,8,50,8,0.58,0.15,0.007861899910494685
PSO,8,50,8,0.72,0.75,10.750119100091979
DPSO,8,50,8,0.94,0.85,25.446965399896726
DMMP-PR-TSA,9,50,9,0.78,0.85,0.6487941998057067
DMMP-R-RL-AC,9,50,9,0.94,0.95,15.728645300026983
Greedy-Nearest,9,50,9,0.58,0.15,0.007938499795272946
PSO,9,50,9,0.8,0.95,11.157953300047666
DPSO,9,50,9,0.88,0.9,26.91145949997008
DMMP-PR-TSA,10,50,10,0.84,0.95,1.0060229999944568
DMMP-R-RL-AC,10,50,10,0.92,1.0,20.044167699990794
Greedy-Nearest,10,50,10,0.72,0.75,0.00777560006827116
PSO,10,50,10,0.9,1.0,10.296701000072062
DPSO,10,50,10,1.0,1.0,26.594225599896163
DMMP-PR-TSA,11,50,11,0.68,0.75,0.4623372999485582
DMMP-R-RL-AC,11,50,11,0.92,1.0,14.259872899856418
Greedy-Nearest,11,50,11,0.56,0.2,0.006230199942365289
PSO,11,50,11,0.86,1.0,11.672119700117037
DPSO,11,50,11,1.0,1.0,26.34540669992566
DMMP-PR-TSA,12,50,12,0.82,0.95,0.8414198001846671
DMMP-R-RL-AC,12,50,12,0.94,1.0,17.317577000008896
Greedy-Nearest,12,50,12,0.72,0.7,0.010790199972689152
PSO,12,50,12,0.88,1.0,12.915981899946928
DPSO,12,50,12,1.0,1.0,31.97120719985105
DMMP-PR-TSA,13,50,13,0.84,0.95,0.4009802001528442
DMMP-R-RL-AC,13,50,13,0.96,1.0,16.321206300053746
Greedy-Nearest,13,50,13,0.72,0.7,0.011835899902507663
PSO,13,50,13,0.9,1.0,13.660776300122961
DPSO,13,50,13,1.0,1.0,31.53153629996814
DMMP-PR-TSA,14,50,14,0.92,1.0,0.3301327000372112
DMMP-R-RL-AC,14,50,14,0.98,1.0,12.655138799920678
Greedy-Nearest,14,50,14,0.74,0.7,0.012693900149315596
PSO,14,50,14,0.96,1.0,12.272839399985969
DPSO,14,50,14,1.0,1.0,33.25106950011104
DMMP-PR-TSA,15,50,15,0.82,0.9,0.42299839993938804
DMMP-R-RL-AC,15,50,15,0.96,1.0,11.161545400042087
Greedy-Nearest,15,50,15,0.8,0.7,0.020563700003549457
PSO,15,50,15,0.92,1.0,13.886533099925146
DPSO,15,50,15,1.0,1.0,32.56801120005548
DMMP-PR-TSA,16,50,16,1.0,1.0,0.33077050000429153
DMMP-R-RL-AC,16,50,16,1.0,1.0,6.936355700017884
Greedy-Nearest,16,50,16,0.78,0.75,0.013235999969765544
PSO,16,50,16,0.94,1.0,14.083747299853712
DPSO,16,50,16,1.0,1.0,31.954988299869
DMMP-PR-TSA,17,50,17,1.0,1.0,1.2309079999104142
DMMP-R-RL-AC,17,50,17,1.0,1.0,9.666277199983597
Greedy-Nearest,17,50,17,0.84,0.85,0.01110589993186295
PSO,17,50,17,1.0,1.0,15.343996699899435
DPSO,17,50,17,1.0,1.0,35.719312499975786
DMMP-PR-TSA,18,50,18,1.0,1.0,0.6185943000018597
DMMP-R-RL-AC,18,50,18,1.0,1.0,5.607732699951157
Greedy-Nearest,18,50,18,0.64,0.45,0.013757100095972419
PSO,18,50,18,0.98,1.0,15.44338579988107
DPSO,18,50,18,1.0,1.0,34.11000069999136
DMMP-PR-TSA,19,50,19,1.0,1.0,0.337717599933967
DMMP-R-RL-AC,19,50,19,1.0,1.0,8.213170999893919
Greedy-Nearest,19,50,19,0.78,0.8,0.014513100031763315
PSO,19,50,19,0.98,0.95,16.252500500064343
DPSO,19,50,19,1.0,1.0,36.18387720012106
DMMP-PR-TSA,20,50,20,1.0,1.0,0.522437300067395
DMMP-R-RL-AC,20,50,20,1.0,1.0,9.189932300010696
Greedy-Nearest,20,50,20,0.58,0.25,0.015528399962931871
PSO,20,50,20,0.94,1.0,16.33913529990241
DPSO,20,50,20,1.0,1.0,34.87071059993468
