uavs,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
3,0.26,0.44,0.38,0.4,0.36
4,0.3,0.58,0.44,0.46,0.42
5,0.6,0.76,0.58,0.62,0.54
6,0.5,0.66,0.6,0.48,0.64
7,0.74,0.88,0.8,0.54,0.7
8,0.56,0.86,0.94,0.58,0.72
9,0.78,0.94,0.88,0.58,0.8
10,0.84,0.92,1.0,0.72,0.9
11,0.68,0.92,1.0,0.56,0.86
12,0.82,0.94,1.0,0.72,0.88
13,0.84,0.96,1.0,0.72,0.9
14,0.92,0.98,1.0,0.74,0.96
15,0.82,0.96,1.0,0.8,0.92
16,1.0,1.0,1.0,0.78,0.94
17,1.0,1.0,1.0,0.84,1.0
18,1.0,1.0,1.0,0.64,0.98
19,1.0,1.0,1.0,0.78,0.98
20,1.0,1.0,1.0,0.58,0.94
