tasks,DMMP-PR-TSA,DMMP-R-RL-AC,DPSO,Greedy-Nearest,PSO
10,1.0,1.0,1.0,1.0,1.0
20,0.7,0.9,1.0,0.95,1.0
30,0.5,0.8333333333333334,1.0,0.8666666666666667,0.8666666666666667
40,0.6,0.875,0.75,0.75,0.65
50,0.38,0.72,0.52,0.72,0.54
60,0.4,0.6333333333333333,0.5,0.7,0.38333333333333336
70,0.24285714285714285,0.5571428571428572,0.45714285714285713,0.5714285714285714,0.45714285714285713
80,0.275,0.5625,0.35,0.5125,0.35
90,0.28888888888888886,0.4666666666666667,0.34444444444444444,0.5,0.35555555555555557
100,0.22,0.46,0.29,0.45,0.32
