uavs,DMMP-PR-TSA,DMMP-R-RL-AC,Greedy-Nearest,PSO
3,0.75,0.9166666666666666,0.0,0.6666666666666666
4,0.6666666666666666,1.0,0.0,0.9166666666666666
5,0.5833333333333334,1.0,0.3333333333333333,1.0
6,0.75,1.0,0.0,1.0
7,1.0,1.0,0.08333333333333333,1.0
8,1.0,1.0,0.08333333333333333,1.0
9,1.0,1.0,0.0,1.0
10,1.0,1.0,0.0,1.0
11,1.0,1.0,0.25,1.0
12,1.0,1.0,0.6666666666666666,1.0
13,1.0,1.0,0.6666666666666666,1.0
14,1.0,1.0,1.0,1.0
15,1.0,1.0,0.6666666666666666,1.0
16,1.0,1.0,0.6666666666666666,1.0
17,1.0,1.0,0.8333333333333334,1.0
18,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0
20,1.0,1.0,0.4166666666666667,1.0
